difficulty_rank,course_name,category,ranking_row_count,unique_players,rank1_time_ms,rank2_time_ms,rank10_time_ms,rank2to5_median_time_ms,rank1_to_rank2to5_median_percent_gap,rank2_to_rank10_percent_spread,first_place_outlierness_raw,top_density_spread_raw,first_place_outlierness,top_density,first_place_difficulty,difficulty_multiplier
1,図書館戦争,normal,100,100,87498,90551,92202,90667.0,3.6217970696473145,1.8232819074333717,0.03557751813223461,0.01806859441050007,0.6785714285714286,0.8261904761904761,0.7451401446654611,1.0745140144665462
2,Metalic Gear,normal,100,100,101750,104156,106254,104865.5,3.0619164619164696,2.014286262913312,0.030159752333079572,0.019942678889608347,0.6071428571428571,0.8023809523809524,0.6912403474903475,1.0691240347490347
3,飛び水,matataki,100,100,22563,23023,23639,23231.0,2.960599211097814,2.6755852842809347,0.029176197126451996,0.02640417419651071,0.5833333333333334,0.7214285714285714,0.6450729927007299,1.064507299270073
4,Athletic Memory,normal,100,100,177851,182851,188688,183450.0,3.1481408594834948,3.192216613526866,0.030996029706862483,0.031423243803547364,0.6214285714285714,0.6690476190476191,0.6443595150237217,1.0644359515023722
5,Stare,normal,100,100,91649,92705,95276,94228.0,2.8139968793985837,2.7733131977778935,0.027751314178913182,0.027355534087851317,0.569047619047619,0.7119047619047619,0.6325101787927067,1.0632510178792707
6,Escape from U.L.,normal,100,100,439868,442958,461008,455854.0,3.634272099811753,4.074878430912188,0.035697900905385674,0.03994043900110233,0.6833333333333333,0.5880952380952381,0.632147315855181,1.063214731585518
7,Viola,normal,100,100,83647,85147,88698,86653.0,3.5936734132724357,4.170434660058486,0.03530607453314406,0.04085816660259894,0.6738095238095239,0.5738095238095238,0.6198018902217375,1.0619801890221738
8,散歩道,normal,100,100,46686,47310,48525,47838.5,2.4686201430835775,2.5681674064679694,0.024386420772914946,0.02535743941201717,0.5119047619047619,0.7357142857142858,0.6037350054525628,1.0603735005452564
9,Colorless_Planet,normal,100,100,102551,103357,107850,106106.0,3.4665678540433564,4.347068897123552,0.03407835863349574,0.042552357989902145,0.65,0.5547619047619048,0.5986166007905138,1.0598616600790514
10,カイﾀﾞﾝﾀﾞﾝ,matataki,100,100,16553,18634,19756,19439.0,17.434906059324582,6.021251475796929,0.16071400310194728,0.0584693736501452,0.9452380952380952,0.4214285714285714,0.5829517172722747,1.0582951717272275
