overall_rank,tier,player_uuid,player_name,published_rating,raw_performance_index,eligible_course_count,best_course_score,thirtieth_course_score
1,EX,463ac650-c7f4-4839-8719-ebbf4a51731d,yukked0n,1310.6895306213007,104.80617838667901,204,106.10964321180309,103.31042152382597
2,S+,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1282.6472724875373,104.34099290999966,136,106.49909420289856,102.05072616014984
3,S+,f98a08ef-70d1-4082-b1b9-b4b7fbbaf04e,cresc28,1252.4182516786952,103.84675347570638,162,106.39951452967911,102.03364833484828
4,S,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1240.7649823071338,103.65820633064874,158,107.44787661915183,101.67797083125566
5,S,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1214.8525224459968,103.242864810217,149,104.56562439214161,102.04448710966147
6,S,a61f7017-f780-4a6c-8b0c-461bd12602fc,Sasterisk24,1208.133430664822,103.136043545428,175,105.6072379237454,101.4053804635123
7,A+,2b29e3f5-5656-4e90-996b-f69ac8a05fff,Xx_Omochi_xX,1191.01561634489,102.86552183912993,135,105.94961744168772,101.21488366047348
8,A+,6e045cde-e21b-4cad-8308-b1bd53b38379,lolonya8,1188.0159547325518,102.81835535470735,141,105.16509433962264,101.11322560805246
9,A+,38418f95-eef8-466a-863c-4729571f8b39,Hopping_OreYANEN,1178.9024545829661,102.67549020467438,129,106.94331761006288,100.66520681779672
10,A+,109801dd-a044-425d-9de7-10236de5445f,grechan0126,1176.4310695121833,102.63686082262493,65,105.32390510948906,100.41148311032076
11,A+,c4cdc4a1-6026-4691-9a8e-cf227f10eded,sasas_,1170.7214213837694,102.547798464455,114,105.54371978793075,100.60678930671543
12,A+,6916473f-9f5c-44f7-adbd-999795c02fd2,hobby9930,1166.502273385021,102.48214980594416,39,105.44662676391312,100.65485383208976
13,A+,f86558b2-0776-45f9-a158-a519bcbca651,_Ekidona,1156.9892837124662,102.33464069081737,196,105.86344896746398,100.65293244177396
14,A+,6198f611-cc03-487a-897d-86d377d9b7b5,AKAsen3714,1155.5369418623131,102.31218262596533,128,104.4975465611238,100.37644354084362
15,A,a8e47fdd-b23b-421f-ab12-2031c934a6a2,kqnqsimi,1124.5039279692658,101.83621345409757,137,104.8403730703259,100.26401126152528
16,A,b19024f4-2211-4d31-a068-a40e9a3cf617,tewitewi,1120.9005022165004,101.78142688540328,166,104.59695645287941,100.0112609262866
17,A,2c3b56ae-d81c-4fa7-bfdb-2845aa766c57,yuio_123,1119.9581270881797,101.76711541896117,162,105.43410337042411,100.46785066489903
18,A,43399ca2-bdbc-4c7a-b83e-da7efe957507,zekaYANENsaikyou,1116.73256597833,101.71818163433598,157,105.64385909123031,99.69845141724579
19,A,b3d6ca94-3f4c-4275-aadb-2011ee3fe724,sou53,1111.0711841743162,101.63248736996003,117,103.87149027798633,99.70786220481197
20,A,3d386129-020e-49ef-9c43-087cbe950baa,kurotama414,1105.330613531963,101.54584429834657,192,103.24202832586467,100.13315254135428
21,A,f1ed67e2-63da-497d-b171-9d2a2c6b2034,megusurikirai,1102.9804110345985,101.51044487145393,86,105.46346372804163,99.30812575224151
22,B+,fe7e2f10-673a-4c92-a984-05a25a5c26e2,ERinZin,1096.7609482736832,101.41696817093397,117,103.50417789757414,98.72577813186673
23,B+,4ed7f7a3-c175-45ee-9c61-71e309d97a3a,kitakuyasan,1096.5680621070767,101.41407384503673,181,104.00351176128335,98.91952752373791
24,B+,3355e2e2-dde1-49ab-a1ea-feb3a943b54e,Haduki827,1080.8307462357018,101.17887875325272,137,106.33639063591893,98.12974946499239
25,B+,df9bfd57-bff7-44fa-937e-3495e6fdb183,xylophin,1077.7546934717438,101.13312543153823,122,104.26565741381013,98.1113267288
26,B+,351abfb1-471b-43f7-ad47-909c76077542,koburei,1065.5048846474097,100.95162690743388,103,103.6964942801599,98.85636005490082
27,B+,13a1aa2d-3b13-4ebe-b0a8-44dff9336b04,ASIRA_18,1059.155997848884,100.8580014366631,68,104.14007853448443,96.05479391831248
28,B,75ffe217-20ed-4852-a9e1-8fd44f2bbfd1,rurururuuururuu,1042.948322408484,100.62035377116356,83,105.18752070687191,98.41069669045966
29,B,09eae9ce-845a-4a57-a0bf-1ced6ef27f38,9News,1042.2012536710592,100.60944681789212,101,103.97772872418476,98.52982987208696
30,B,428396f9-d519-42b3-b16f-a4be8111656f,inabanntei,1025.6965746891797,100.36953691390927,118,104.27589478619058,98.31627547962668
31,B,09429d4d-8037-4d05-99e2-b6a6868fcb33,Ryukkun_,1015.864168020083,100.22756813830645,102,103.11281211990115,98.44690411334054
32,B,8f243446-4d80-458d-9810-cd6e8ddfd5d7,yogariness,1013.9205982516946,100.19958915918211,132,102.59253524101021,98.53996122255323
33,B,c41fd0eb-3b01-468c-bb40-0f6386fd7af4,NoB1maru,1013.3275109317519,100.1910567818771,71,104.91035737128239,97.68670082569444
34,B,6fde48a1-e96a-4457-ba55-239d6e419135,shouryu123,1012.4363714683196,100.17824135518975,117,103.80206058456194,98.47615543115404
35,B,7f913d51-8e77-4c92-8a3e-6f0592b71adc,_Muse7,1010.7480078297491,100.15397702471611,91,104.97325728270309,97.19130463731763
36,B,241c555b-f91e-4650-99c4-72815550d355,ChiiChan_,1004.07511113855,100.05828127821295,139,101.9964292126114,98.30224911795935
37,B-,5cd51a2b-67c8-4927-9a7e-1338c3c0ab6a,As3na,997.0872900854514,99.93471112726532,42,103.82518479555772,95.33955207578488
