overall_rank,tier,player_uuid,player_name,published_rating,raw_performance_index,eligible_course_count,best_course_score,thirtieth_course_score
1,EX,463ac650-c7f4-4839-8719-ebbf4a51731d,yukked0n,1305.00552171868,104.7113631267702,200,105.96238027536667,103.27399489447845
2,S+,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1280.9512373740163,104.31306542663846,134,106.38691078658185,102.13773192887514
3,S+,f98a08ef-70d1-4082-b1b9-b4b7fbbaf04e,cresc28,1251.1856812729543,103.82675884732421,162,106.26957677738929,102.05123152248895
4,S,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1237.8054472752956,103.61049628289129,158,107.42595845660749,101.52170205135127
5,S,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1211.5140955359327,103.18974498853036,141,104.43879937629939,102.00051781997978
6,S,a61f7017-f780-4a6c-8b0c-461bd12602fc,Sasterisk24,1201.5318561000665,103.03144027986588,175,105.43384699361773,101.29367651390501
7,A+,2b29e3f5-5656-4e90-996b-f69ac8a05fff,Xx_Omochi_xX,1189.2996175874166,102.83853089489365,135,105.8617690744215,101.13947497571547
8,A+,6e045cde-e21b-4cad-8308-b1bd53b38379,lolonya8,1188.276500841912,102.82244934938532,141,106.73290788393102,101.04807554438595
9,A+,38418f95-eef8-466a-863c-4729571f8b39,Hopping_OreYANEN,1174.2755444669724,102.60320768014056,128,106.88084496838776,100.49475815545567
10,A+,109801dd-a044-425d-9de7-10236de5445f,grechan0126,1171.645333417077,102.56219284755011,65,105.19908545401965,100.67186029161104
11,A+,c4cdc4a1-6026-4691-9a8e-cf227f10eded,sasas_,1170.7098959852026,102.54761894303196,115,105.45100245499182,100.59972584141855
12,A+,f86558b2-0776-45f9-a158-a519bcbca651,_Ekidona,1153.4817478925695,102.2804304877257,190,105.73243720565148,100.61363907267948
13,A+,6916473f-9f5c-44f7-adbd-999795c02fd2,hobby9930,1152.9924473459414,102.27287577889032,36,105.40274784482759,100.23655049309907
14,A,a8e47fdd-b23b-421f-ab12-2031c934a6a2,kqnqsimi,1124.6770734189874,101.83884847063646,130,104.77927300503237,100.24681853365512
15,A,b19024f4-2211-4d31-a068-a40e9a3cf617,tewitewi,1115.4334785462393,101.69849616063821,164,104.40469489050231,99.90867276956949
16,A,b3d6ca94-3f4c-4275-aadb-2011ee3fe724,sou53,1111.4121143826872,101.63764097587453,113,104.61178465254552,99.73314245616449
17,A,43399ca2-bdbc-4c7a-b83e-da7efe957507,zekaYANENsaikyou,1109.9784429093645,101.61597513628807,157,105.49670169946333,99.59395180231733
18,A,6198f611-cc03-487a-897d-86d377d9b7b5,AKAsen3714,1107.4392685207424,101.5776412680024,122,103.87314250893209,99.3812928134357
19,A,2c3b56ae-d81c-4fa7-bfdb-2845aa766c57,yuio_123,1107.205645392463,101.57411673371206,158,105.3737080650627,100.42861021294411
20,A,f1ed67e2-63da-497d-b171-9d2a2c6b2034,megusurikirai,1100.5303467052784,101.47358603539055,86,105.30553863557257,99.27179058856585
21,B+,3d386129-020e-49ef-9c43-087cbe950baa,kurotama414,1099.5336939335373,101.45860541991622,187,103.10304606263483,100.10769200121665
22,B+,fe7e2f10-673a-4c92-a984-05a25a5c26e2,ERinZin,1095.1470267632,101.39275940057932,117,103.42483302625519,98.97965887450046
23,B+,4ed7f7a3-c175-45ee-9c61-71e309d97a3a,kitakuyasan,1082.3942383229162,101.20216152019378,180,103.94807257222416,98.8376632340097
24,B+,3355e2e2-dde1-49ab-a1ea-feb3a943b54e,Haduki827,1075.3101233948032,101.09681559810268,137,106.20109097633137,98.07611341882458
25,B+,351abfb1-471b-43f7-ad47-909c76077542,koburei,1064.3454238330414,100.93450612391551,103,103.61865146414264,98.8665708171547
26,B+,13a1aa2d-3b13-4ebe-b0a8-44dff9336b04,ASIRA_18,1054.3168294619766,100.78684158054152,68,104.0319555129886,95.47298692619638
27,B,df9bfd57-bff7-44fa-937e-3495e6fdb183,xylophin,1049.7602720678196,100.71999701777467,113,104.71578768453769,97.59054927670606
28,B,09eae9ce-845a-4a57-a0bf-1ced6ef27f38,9News,1042.0110368864537,100.60667037737913,101,103.91816766683863,98.73412969728113
29,B,75ffe217-20ed-4852-a9e1-8fd44f2bbfd1,rurururuuururuu,1037.4903840455506,100.54076493652097,83,105.05906307179711,98.25382811578378
30,B,428396f9-d519-42b3-b16f-a4be8111656f,inabanntei,1020.3102628299673,100.29167676252038,114,104.0928972276514,98.24815761159718
31,B,09429d4d-8037-4d05-99e2-b6a6868fcb33,Ryukkun_,1014.4722144971886,100.20752722973519,98,103.10786294098445,98.4895788882191
32,B,c41fd0eb-3b01-468c-bb40-0f6386fd7af4,NoB1maru,1011.7012463939645,100.16767393681776,71,104.84312290969899,97.62110188942425
33,B,8f243446-4d80-458d-9810-cd6e8ddfd5d7,yogariness,1010.7713544968867,100.15431240935992,132,102.4302963673557,98.54763179382955
34,B,7f913d51-8e77-4c92-8a3e-6f0592b71adc,_Muse7,1006.8148007661625,100.09753172216764,91,104.95099852071006,97.03173138227659
35,B-,2c668cbd-dfb2-47d9-b510-633723cc2b66,nira_,999.4117859542114,99.98688097231758,66,103.40002211749663,94.99991588821297
36,B-,5cd51a2b-67c8-4927-9a7e-1338c3c0ab6a,As3na,997.1643377239646,99.93644872243995,42,103.80400562154193,95.45799664175665
37,B-,241c555b-f91e-4650-99c4-72815550d355,ChiiChan_,996.3512442268942,99.91808259402434,133,101.8983978485306,98.15795950379957
38,B-,7b55693a-053b-45da-8fd5-1502c863605b,GenshinWaves_GOD,995.7326037961857,99.90406566989408,96,101.81860641778553,97.60461591604971
39,B-,6fde48a1-e96a-4457-ba55-239d6e419135,shouryu123,994.1002639561666,99.86690121710363,108,103.21103044080338,97.83182747535814
40,B-,300618bb-7e05-4d8e-875a-f70ddcea55e3,So_su0141,990.9895087653827,99.7953508336301,97,102.77746000095978,97.19361119606089
41,B-,b08e7bdf-fe5c-4fa7-b16e-ef870fd9ffa9,TMK226,990.6657039392984,99.78784792024112,124,102.5973187380067,97.16353580981406
42,B-,73178c70-0d2d-48fa-bb1a-cc8f27909ffd,icicle36,985.8905232902404,99.67598245678096,163,103.05815454753898,97.55318870174106
43,B-,ff0affe9-a1a2-4ce8-ad42-a5dae3f13eb7,Kijibato_,978.5792059689969,99.50020592627128,103,103.81943521051768,96.98323766350208
44,B-,ddda277e-ca9a-4b98-94b2-ac5644be069e,ASIX920,974.7968362290901,99.40709022135395,93,102.66699408478455,96.73703523192698
45,B-,fc5433dd-308e-44e3-b3b2-1834f32b3091,hiro_myon,972.9061952496994,99.35997868243429,122,104.20490384615384,97.12247126100871
46,B-,de648083-0d76-437b-a2bf-c59c20eb36f9,cube_0111,971.8607385543893,99.33376396707207,59,102.94247864035188,94.7887175235139
47,B-,68fb6d2b-c011-46f7-8bb1-c064138fac01,_Rucia,970.1587679575417,99.29083631141854,86,101.1960759471691,96.64677025469453
48,B-,e7767d1b-ba49-4d7c-808c-2d8ee1bb6de9,Nao_Nao7070,970.1094043021666,99.28958658912605,92,102.6077696938676,96.61774241951458
49,B-,a9d91c0a-6b98-4cf5-837d-9e434ceeff76,Yodai_524_GL,967.2562700239339,99.21690609821486,116,102.16034745739573,97.45340104897853
50,B-,84882870-b2c8-4ee7-8ddc-b8770db563b7,A9UA115,962.6249947219148,99.09703278895658,148,102.0938305582977,96.88474460854121
51,B-,20347723-ce6e-4e0a-ae86-384a20760ef3,TKD_,954.7925595568969,98.88885360360669,92,101.43373522386173,95.57562957773497
52,B-,9cca3872-c9d7-4a0f-92c2-3ccd1b8196c0,Koutun_,951.5697793009382,98.8011656073958,102,101.78040783703497,96.65807444620937
53,C+,7f0d11c9-af44-4141-9a30-2490d6b382aa,sukukuri4869,949.9453377734236,98.75651063692331,133,100.8484813574868,95.57234172812716
54,C+,df8a7a6d-60be-4709-8686-c999f1015408,lolo_dattamono,943.6328087092245,98.58004035298663,85,101.38623507483894,95.75947279607855
55,C+,2807a52d-2c4b-49cb-9092-0551db1de12b,akahana0512,936.3710280085168,98.37113045155817,79,101.33085922868794,95.40253788615374
56,C+,f8912c33-4775-470a-912a-71fc7b5dc33b,day5_226,935.6767059367985,98.35081906867246,58,103.3524623805335,91.37932776149601
57,C+,bc5a0cd1-6291-4876-bd68-cf9341924cbb,SYUN120919,934.2755643765231,98.3096495486305,131,101.80768779401608,96.70501645348033
