overall_rank,tier,player_uuid,player_name,published_rating,raw_performance_index,eligible_course_count,best_course_score,thirtieth_course_score
1,EX,463ac650-c7f4-4839-8719-ebbf4a51731d,yukked0n,1305.5500480328474,104.72043480753604,199,105.9727626459144,103.28683779411791
2,S+,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1281.13629310094,104.31611147015174,135,106.39185124418921,102.14646464646464
3,S+,f98a08ef-70d1-4082-b1b9-b4b7fbbaf04e,cresc28,1251.428648870089,103.83069926875267,161,106.26999871420438,102.08787384260414
4,S,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1237.0929774743904,103.5990212413498,157,107.3736589497459,101.51364684145659
5,S,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1210.9097771085449,103.18013878759353,141,104.46389868128998,101.97358066477926
6,S,a61f7017-f780-4a6c-8b0c-461bd12602fc,Sasterisk24,1201.1547969766957,103.0254761467608,174,105.43001525553012,101.34623634207273
7,A+,2b29e3f5-5656-4e90-996b-f69ac8a05fff,Xx_Omochi_xX,1188.6342939282285,102.82807227087302,135,105.89872746553553,101.14819861946175
8,A+,6e045cde-e21b-4cad-8308-b1bd53b38379,lolonya8,1187.737479502142,102.81398022932709,140,106.71696708396101,101.03813202660724
9,A+,38418f95-eef8-466a-863c-4729571f8b39,Hopping_OreYANEN,1173.0409645099107,102.58394920722469,128,106.88256387270283,100.49914870559373
10,A+,109801dd-a044-425d-9de7-10236de5445f,grechan0126,1171.0273425626724,102.55256392110014,65,105.16679475918606,100.67548344227386
11,A+,c4cdc4a1-6026-4691-9a8e-cf227f10eded,sasas_,1168.4123687303168,102.51185305795991,114,105.44314381270902,100.45040125976742
12,A+,f86558b2-0776-45f9-a158-a519bcbca651,_Ekidona,1152.5880174413012,102.26663286134787,189,105.72731052506535,100.60427974595567
13,A,6916473f-9f5c-44f7-adbd-999795c02fd2,hobby9930,1147.3797670498868,102.18635002565715,35,105.44550641345994,99.94778944095063
14,A,a8e47fdd-b23b-421f-ab12-2031c934a6a2,kqnqsimi,1122.0430073485704,101.79878677531676,129,104.78929940350639,100.1005236746425
15,A,b19024f4-2211-4d31-a068-a40e9a3cf617,tewitewi,1113.711916638373,101.67242868639299,163,104.3357387517649,99.88014196626018
16,A,b3d6ca94-3f4c-4275-aadb-2011ee3fe724,sou53,1110.3643437181113,101.62180537904466,113,104.62114816378218,99.68449058253276
17,A,43399ca2-bdbc-4c7a-b83e-da7efe957507,zekaYANENsaikyou,1109.619118438629,101.61054743420095,157,105.47989623865111,99.59828934429186
18,A,2c3b56ae-d81c-4fa7-bfdb-2845aa766c57,yuio_123,1106.6833240381493,101.56623828428165,157,105.41116005873717,100.39999081873843
19,A,6198f611-cc03-487a-897d-86d377d9b7b5,AKAsen3714,1100.3313100149737,101.47059372616862,121,103.83789017205748,99.1108296570211
20,B+,f1ed67e2-63da-497d-b171-9d2a2c6b2034,megusurikirai,1099.7031581182587,101.46115209122644,86,105.33422956696614,99.22989573044414
21,B+,3d386129-020e-49ef-9c43-087cbe950baa,kurotama414,1098.8825599036734,101.4488223472438,186,103.10347817923177,100.09002933325083
22,B+,fe7e2f10-673a-4c92-a984-05a25a5c26e2,ERinZin,1094.3010093926478,101.38007705866026,117,103.43213433443921,98.97306796939203
23,B+,4ed7f7a3-c175-45ee-9c61-71e309d97a3a,kitakuyasan,1082.2754268297924,101.20039158991031,179,103.96124286341677,98.82146945556568
24,B+,3355e2e2-dde1-49ab-a1ea-feb3a943b54e,Haduki827,1075.5054305218753,101.09971489344713,137,106.23922333704942,98.04592929384225
25,B+,351abfb1-471b-43f7-ad47-909c76077542,koburei,1063.1582479560423,100.91698651907849,103,103.59163927872036,98.8693314372681
26,B+,13a1aa2d-3b13-4ebe-b0a8-44dff9336b04,ASIRA_18,1053.57526552737,100.77595232765793,68,104.03739523103287,95.44336908054869
27,B,df9bfd57-bff7-44fa-937e-3495e6fdb183,xylophin,1042.417608195416,100.61260509585317,114,104.60126154539311,97.19407428088628
28,B,09eae9ce-845a-4a57-a0bf-1ced6ef27f38,9News,1040.1253448758957,100.57916095977501,101,103.95510233137294,98.4328299966183
29,B,75ffe217-20ed-4852-a9e1-8fd44f2bbfd1,rurururuuururuu,1037.0922911504308,100.53496848871453,83,105.05948020234202,98.26405660516332
30,B,428396f9-d519-42b3-b16f-a4be8111656f,inabanntei,1019.717944727253,100.28312770266389,114,104.10152257917241,98.26309053636328
31,B,09429d4d-8037-4d05-99e2-b6a6868fcb33,Ryukkun_,1013.9071902445545,100.19939623809462,98,103.09138299038197,98.49920334072021
32,B,c41fd0eb-3b01-468c-bb40-0f6386fd7af4,NoB1maru,1011.2457237194849,100.16112778502215,71,104.85633820644263,97.62163580482583
33,B,8f243446-4d80-458d-9810-cd6e8ddfd5d7,yogariness,1010.0599158360857,100.14409408485575,132,102.44204195267706,98.54959471976683
