difficulty_rank,course_name,category,ranking_row_count,unique_players,rank1_time_ms,rank2_time_ms,rank10_time_ms,rank2to5_median_time_ms,rank1_to_rank2to5_median_percent_gap,rank2_to_rank10_percent_spread,first_place_outlierness_raw,top_density_spread_raw,first_place_outlierness,top_density,first_place_difficulty,difficulty_multiplier
1,図書館戦争,normal,100,100,87498,90551,92499,90667.0,3.6217970696473145,2.1512738677651244,0.0355775181322346,0.0212846057583812,0.6609756097560976,0.7780487804878049,0.7147498966515089,1.071474989665151
2,Metalic Gear,normal,100,100,101750,104156,106254,104865.5,3.0619164619164696,2.014286262913312,0.0301597523330795,0.0199426788896083,0.5926829268292683,0.8073170731707318,0.6835472082943826,1.0683547208294382
3,手が疲れる奴,matataki,100,100,28849,29849,30752,29899.5,3.641374051093616,3.0252269757780725,0.0357664275404875,0.0298036943479573,0.6707317073170732,0.6853658536585365,0.6779698192665381,1.0677969819266535
4,Athletic Memory,normal,100,100,177851,182851,188688,183450.0,3.1481408594834948,3.192216613526866,0.0309960297068624,0.0314232438035473,0.6073170731707317,0.6658536585365853,0.6352396972245584,1.063523969722456
5,飛び水,matataki,100,100,22563,23023,23657,23231.0,2.960599211097814,2.753767971159271,0.0291761971264519,0.027165337968037,0.5682926829268292,0.7097560975609756,0.6311953081362874,1.0631195308136288
6,Stare,normal,100,100,91649,92705,95276,94228.0,2.813996879398584,2.773313197777893,0.0277513141789131,0.0273555340878513,0.5585365853658537,0.7048780487804878,0.6232319427441378,1.0623231942744138
7,Escape from U.L.,normal,100,100,439868,442958,461008,455854.0,3.634272099811753,4.074878430912188,0.0356979009053856,0.0399404390011023,0.6658536585365854,0.5829268292682928,0.6216368140243903,1.062163681402439
8,Viola,normal,100,100,83647,85147,88698,86653.0,3.593673413272436,4.170434660058486,0.035306074533144,0.0408581666025989,0.6560975609756098,0.5634146341463415,0.6062341463414634,1.0606234146341464
9,Colorless_Planet,normal,100,100,102551,103357,107850,106106.0,3.4665678540433564,4.347068897123552,0.0340783586334957,0.0425523579899021,0.6317073170731707,0.5487804878048781,0.5873311832291876,1.0587331183229187
10,散歩道,normal,100,100,46686,47310,48525,47838.5,2.468620143083577,2.5681674064679694,0.0243864207729149,0.0253574394120171,0.4853658536585366,0.7390243902439024,0.5859197356913808,1.058591973569138
