overall_rank,tier,player_uuid,player_name,published_rating,raw_performance_index,eligible_course_count,best_course_score,thirtieth_course_score
1,EX,463ac650-c7f4-4839-8719-ebbf4a51731d,yukked0n,1310.6181437939476,104.80498591838716,204,106.12615716203801,103.31042152382597
2,S+,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1282.793455530732,104.34340111320736,136,106.49909420289856,102.05072616014984
3,S+,f98a08ef-70d1-4082-b1b9-b4b7fbbaf04e,cresc28,1252.5165187832542,103.84834808401436,162,106.41861063464837,102.03364833484828
4,S,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1241.1449530587,103.66433687290738,158,107.44787661915183,101.6524053834135
5,S,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1214.912452798905,103.24381921173836,149,104.56562439214161,102.04448710966147
6,S,a61f7017-f780-4a6c-8b0c-461bd12602fc,Sasterisk24,1208.0777329083166,103.1351595549073,175,105.6072379237454,101.4053804635123
7,A+,2b29e3f5-5656-4e90-996b-f69ac8a05fff,Xx_Omochi_xX,1191.100886623747,102.86686366161726,135,105.94961744168772,101.21488366047348
8,A+,6e045cde-e21b-4cad-8308-b1bd53b38379,lolonya8,1187.947557450425,102.81728070809703,141,105.16509433962264,101.11322560805246
9,A+,38418f95-eef8-466a-863c-4729571f8b39,Hopping_OreYANEN,1179.152569340888,102.67940233668563,129,106.94331761006288,100.66520681779672
10,A+,109801dd-a044-425d-9de7-10236de5445f,grechan0126,1176.5917989599925,102.6393716722073,65,105.33181818181818,100.41258451290719
11,A+,c4cdc4a1-6026-4691-9a8e-cf227f10eded,sasas_,1170.878798541988,102.55024989991497,114,105.54371978793075,100.60678930671543
12,A+,6916473f-9f5c-44f7-adbd-999795c02fd2,hobby9930,1166.5424617189021,102.48277446750048,39,105.44662676391312,100.65485383208976
13,A+,f86558b2-0776-45f9-a158-a519bcbca651,_Ekidona,1157.330116945494,102.33991349150907,196,105.8805956344802,100.65293244177396
14,A,6198f611-cc03-487a-897d-86d377d9b7b5,AKAsen3714,1139.217579932233,102.06095644798478,125,104.4975465611238,99.7454157450337
15,A,a8e47fdd-b23b-421f-ab12-2031c934a6a2,kqnqsimi,1124.3012755443397,101.83312967759348,137,104.8403730703259,100.22624796461551
16,A,b19024f4-2211-4d31-a068-a40e9a3cf617,tewitewi,1120.6951920787476,101.77830834417321,166,104.56133293039733,100.0112609262866
17,A,2c3b56ae-d81c-4fa7-bfdb-2845aa766c57,yuio_123,1120.073861643192,101.76887266578123,162,105.43410337042411,100.46785066489903
18,A,43399ca2-bdbc-4c7a-b83e-da7efe957507,zekaYANENsaikyou,1116.7222927818734,101.71802591075961,157,105.64385909123031,99.69845141724579
19,A,b3d6ca94-3f4c-4275-aadb-2011ee3fe724,sou53,1111.3897513494585,101.63730290218787,117,103.87149027798633,99.70786220481197
20,A,3d386129-020e-49ef-9c43-087cbe950baa,kurotama414,1105.267911825149,101.54489932120647,192,103.24202832586467,100.11976479514416
21,A,f1ed67e2-63da-497d-b171-9d2a2c6b2034,megusurikirai,1103.1529959204167,101.5130429645494,86,105.46346372804163,99.30812575224151
22,B+,fe7e2f10-673a-4c92-a984-05a25a5c26e2,ERinZin,1096.7558766746317,101.41689206616311,117,103.50417789757414,98.72577813186673
23,B+,4ed7f7a3-c175-45ee-9c61-71e309d97a3a,kitakuyasan,1096.3748568256512,101.4111750136941,181,104.00351176128335,98.91952752373791
24,B+,3355e2e2-dde1-49ab-a1ea-feb3a943b54e,Haduki827,1081.0247761769067,101.18176715163965,137,106.33639063591893,98.12974946499239
25,B+,df9bfd57-bff7-44fa-937e-3495e6fdb183,xylophin,1077.643268043543,101.13146942277186,122,104.26565741381013,98.1113267288
26,B+,351abfb1-471b-43f7-ad47-909c76077542,koburei,1065.943043301069,100.95809944830778,103,103.6964942801599,98.85577820534489
27,B+,13a1aa2d-3b13-4ebe-b0a8-44dff9336b04,ASIRA_18,1059.1444494890427,100.85783141031429,68,104.14007853448443,96.05479391831248
28,B,75ffe217-20ed-4852-a9e1-8fd44f2bbfd1,rurururuuururuu,1042.9695630678132,100.62066393816869,83,105.20639928865637,98.41270307479986
29,B,09eae9ce-845a-4a57-a0bf-1ced6ef27f38,9News,1042.1524074973997,100.60873382422183,101,103.97772872418476,98.52982987208696
30,B,428396f9-d519-42b3-b16f-a4be8111656f,inabanntei,1025.6242878058822,100.36849058098244,118,104.27589478619058,98.31627547962668
31,B,09429d4d-8037-4d05-99e2-b6a6868fcb33,Ryukkun_,1016.319348815616,100.23412476842886,102,103.24179814089231,98.44690411334054
32,B,8f243446-4d80-458d-9810-cd6e8ddfd5d7,yogariness,1013.9812336719783,100.20046162825884,132,102.59253524101021,98.53996122255323
