overall_rank,tier,player_uuid,player_name,published_rating,raw_performance_index,eligible_course_count,best_course_score,thirtieth_course_score
1,EX,463ac650-c7f4-4839-8719-ebbf4a51731d,yukked0n,1306.809562979356,104.74142743821702,199,105.92261059012978,103.39868465532075
2,S+,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1281.7046363986465,104.32546823643835,135,106.38784067085953,102.49876482213438
3,S+,f98a08ef-70d1-4082-b1b9-b4b7fbbaf04e,cresc28,1251.709480728224,103.83525436410129,161,106.26999871420438,102.0749962609995
4,S,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1238.058035646501,103.6145654535285,157,107.31544630734741,101.47083985749518
5,S,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1209.3550384738057,103.15543813942831,141,104.44116257088847,102.0381308916401
6,S,a61f7017-f780-4a6c-8b0c-461bd12602fc,Sasterisk24,1201.5031617666357,103.0309863675767,175,105.45585136946944,101.48637627509011
7,A+,6e045cde-e21b-4cad-8308-b1bd53b38379,lolonya8,1192.6725817258148,102.89160631315428,140,107.16880653632914,101.0930707546771
8,A+,2b29e3f5-5656-4e90-996b-f69ac8a05fff,Xx_Omochi_xX,1188.4183877511111,102.8246790618999,135,105.88593118406784,101.27346266407474
9,A+,38418f95-eef8-466a-863c-4729571f8b39,Hopping_OreYANEN,1175.728635150295,102.62589005988737,128,106.85082458770614,100.5343147950782
10,A+,109801dd-a044-425d-9de7-10236de5445f,grechan0126,1173.0194598143737,102.5836138568116,65,105.1744599398414,100.75579724221308
11,A+,c4cdc4a1-6026-4691-9a8e-cf227f10eded,sasas_,1170.884179713014,102.55033372486919,114,105.59255182535314,100.53162100880017
12,A+,f86558b2-0776-45f9-a158-a519bcbca651,_Ekidona,1156.183566036205,102.32217957228457,190,105.66085758773507,100.83627268866687
13,A,6916473f-9f5c-44f7-adbd-999795c02fd2,hobby9930,1140.3427741579965,102.07821188937245,34,105.41178323881537,99.93343939864575
14,A,a8e47fdd-b23b-421f-ab12-2031c934a6a2,kqnqsimi,1124.1473546578218,101.8307876630939,129,104.80072463768116,100.05976070345507
15,A,b19024f4-2211-4d31-a068-a40e9a3cf617,tewitewi,1120.8993746503843,101.78140975744924,163,104.2987723201011,99.83259486482852
