overall_rank,tier,player_uuid,player_name,published_rating,raw_performance_index,eligible_course_count,best_course_score,thirtieth_course_score
1,EX,463ac650-c7f4-4839-8719-ebbf4a51731d,yukked0n,1310.993160535503,104.81125078979309,204,106.10964321180309,103.32220939501474
2,S+,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1282.691069332417,104.3417143959649,136,106.27985654724048,102.10816895368782
3,S+,f98a08ef-70d1-4082-b1b9-b4b7fbbaf04e,cresc28,1252.9492549702245,103.85537114820245,161,106.4278730703259,102.03364833484828
4,S,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1241.5759136864058,103.67129150737668,158,107.42872611842887,101.67797083125566
5,S,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1216.6821473283123,103.27201482661108,149,104.56562439214161,102.02601503662635
6,S,a61f7017-f780-4a6c-8b0c-461bd12602fc,Sasterisk24,1208.2746640041858,103.13828519933426,175,105.58873820754717,101.4350726437478
7,A+,2b29e3f5-5656-4e90-996b-f69ac8a05fff,Xx_Omochi_xX,1192.082282041244,102.88231114155953,135,105.96938586755458,101.26009264234122
8,A+,6e045cde-e21b-4cad-8308-b1bd53b38379,lolonya8,1187.7547593179668,102.81425169478169,141,105.14140124632164,101.11322560805246
9,A+,6916473f-9f5c-44f7-adbd-999795c02fd2,hobby9930,1183.532526682335,102.74799049064043,42,105.46271808636615,100.85311175398098
10,A+,38418f95-eef8-466a-863c-4729571f8b39,Hopping_OreYANEN,1179.959510696661,102.69202733867411,129,107.00385792827689,100.62531719648224
11,A+,109801dd-a044-425d-9de7-10236de5445f,grechan0126,1177.101300742408,102.64733224048713,65,105.32390510948906,100.41148311032076
12,A+,c4cdc4a1-6026-4691-9a8e-cf227f10eded,sasas_,1171.3199825597305,102.5571231772601,114,105.54371978793075,100.60678930671543
13,A+,6198f611-cc03-487a-897d-86d377d9b7b5,AKAsen3714,1166.7594326747703,102.48614714222599,133,104.4975465611238,100.56392850324929
14,A+,f86558b2-0776-45f9-a158-a519bcbca651,_Ekidona,1158.0269288390195,102.35069621230751,196,105.86344896746398,100.64803579517624
15,A,a8e47fdd-b23b-421f-ab12-2031c934a6a2,kqnqsimi,1125.0878583414053,101.84510092790393,137,104.85326133356101,100.23301433236576
16,A,b19024f4-2211-4d31-a068-a40e9a3cf617,tewitewi,1121.2204973681378,101.78628806944134,166,104.58294108339528,100.05636667949196
17,A,2c3b56ae-d81c-4fa7-bfdb-2845aa766c57,yuio_123,1119.5580230242779,101.76104126008883,161,105.46999920051168,100.46785066489903
18,A,43399ca2-bdbc-4c7a-b83e-da7efe957507,zekaYANENsaikyou,1116.8468064113465,101.71991337265436,157,105.63297985529863,99.71410318039611
19,A,b3d6ca94-3f4c-4275-aadb-2011ee3fe724,sou53,1111.7910390917368,101.64336995971941,117,103.87149027798633,99.70194898676962
20,A,3d386129-020e-49ef-9c43-087cbe950baa,kurotama414,1106.5492560604596,101.56421640132291,191,103.2276739311719,100.17566846893192
21,A,f1ed67e2-63da-497d-b171-9d2a2c6b2034,megusurikirai,1104.053944622362,101.52660952739086,86,105.45939736499675,99.34847609903836
22,B+,fe7e2f10-673a-4c92-a984-05a25a5c26e2,ERinZin,1097.560035024123,101.42896176096615,117,103.51294489708405,98.71935392719507
23,B+,4ed7f7a3-c175-45ee-9c61-71e309d97a3a,kitakuyasan,1095.5831686291049,101.39929956633155,181,104.00351176128335,98.97104142683986
24,B+,3355e2e2-dde1-49ab-a1ea-feb3a943b54e,Haduki827,1081.692921179518,101.19171556568786,137,106.30926913095323,98.18851526688253
25,B+,df9bfd57-bff7-44fa-937e-3495e6fdb183,xylophin,1078.9034453999607,101.15020367306948,124,104.301174331761,98.09959790145042
26,B+,351abfb1-471b-43f7-ad47-909c76077542,koburei,1066.3767203098641,100.9645072013685,103,103.74388494379384,99.20232872678889
27,B+,13a1aa2d-3b13-4ebe-b0a8-44dff9336b04,ASIRA_18,1059.2404806277864,100.85924530578524,69,104.14007853448443,96.09116748876768
28,B,75ffe217-20ed-4852-a9e1-8fd44f2bbfd1,rurururuuururuu,1042.9745889206094,100.62073732873917,83,105.21555621619437,98.41069669045966
29,B,09eae9ce-845a-4a57-a0bf-1ced6ef27f38,9News,1041.359611518079,100.59716407996038,101,104.01312872061723,98.52982987208696
30,B,428396f9-d519-42b3-b16f-a4be8111656f,inabanntei,1026.2533840177848,100.37759786620543,118,104.2587933997764,98.23291162621511
31,B,09429d4d-8037-4d05-99e2-b6a6868fcb33,Ryukkun_,1017.1473729361102,100.24605589673911,102,103.11281211990115,98.44690411334054
32,B,8f243446-4d80-458d-9810-cd6e8ddfd5d7,yogariness,1014.0338471767535,100.20121869365839,131,102.59253524101021,98.4750388694629
33,B,c41fd0eb-3b01-468c-bb40-0f6386fd7af4,NoB1maru,1013.885547301215,100.19908483141919,70,104.91035737128239,97.69316275029672
34,B,6fde48a1-e96a-4457-ba55-239d6e419135,shouryu123,1012.8793287904639,100.18461077312791,119,103.84606835918206,98.4697474697306
35,B,7f913d51-8e77-4c92-8a3e-6f0592b71adc,_Muse7,1011.5680315529206,100.16575939743345,91,104.97325728270309,97.17427917970625
36,B,241c555b-f91e-4650-99c4-72815550d355,ChiiChan_,1005.8516345779317,100.08372658137553,138,102.04081486587262,98.26364464428256
37,B-,5cd51a2b-67c8-4927-9a7e-1338c3c0ab6a,As3na,997.8427372395477,99.9517232953724,42,103.8066799694127,95.33955207578488
38,B-,7b55693a-053b-45da-8fd5-1502c863605b,uhsg,997.6793993136122,99.94804971838282,96,101.94166436338473,97.62263624638689
39,B-,e7767d1b-ba49-4d7c-808c-2d8ee1bb6de9,Nao_Nao7070,997.0612023402848,99.93412266018728,102,102.76250582724454,97.61618805823977
40,B-,300618bb-7e05-4d8e-875a-f70ddcea55e3,So_su0141,994.9066949821178,99.88529431309057,97,102.93055453101209,97.21850802089587
