difficulty_rank,course_name,category,ranking_row_count,unique_players,rank1_time_ms,rank2_time_ms,rank10_time_ms,rank2to5_median_time_ms,rank1_to_rank2to5_median_percent_gap,rank2_to_rank10_percent_spread,first_place_outlierness_raw,top_density_spread_raw,first_place_outlierness,top_density,first_place_difficulty,difficulty_multiplier
1,図書館戦争,normal,100,100,87498,90551,92343,90667.0,3.6217970696473145,1.9789952623383567,0.03557751813223461,0.01959667728932854,0.6642512077294686,0.8140096618357489,0.7315446307347416,1.0731544630734742
2,手が疲れる奴,matataki,100,100,28849,29849,30558,29899.5,3.6413740510936154,2.3752889544038425,0.035766427540487526,0.0234751786905981,0.6739130434782609,0.7657004830917874,0.7168806536329151,1.0716880653632914
3,Metalic Gear,normal,100,100,101750,104156,106254,104865.5,3.0619164619164696,2.014286262913312,0.030159752333079572,0.019942678889608347,0.5966183574879227,0.8043478260869565,0.6850824587706147,1.0685082458770614
4,Athletic Memory,normal,100,100,177851,182851,188688,183450.0,3.1481408594834948,3.192216613526866,0.030996029706862483,0.031423243803547364,0.6111111111111112,0.6690821256038647,0.638784067085954,1.0638784067085953
5,飛び水,matataki,100,100,22563,23023,23657,23231.0,2.960599211097814,2.753767971159271,0.029176197126451996,0.027165337968037048,0.572463768115942,0.71256038647343,0.6348752315571538,1.0634875231557155
6,Stare,normal,100,100,91649,92705,95276,94228.0,2.8139968793985837,2.7733131977778935,0.027751314178913182,0.027355534087851317,0.5628019323671497,0.7077294685990339,0.6269998714204368,1.0626999871420437
7,Escape from U.L.,normal,100,100,439868,442958,461008,455854.0,3.634272099811753,4.074878430912188,0.035697900905385674,0.03994043900110233,0.6690821256038647,0.5821256038647342,0.6225822095387313,1.0622582209538731
8,Viola,normal,100,100,83647,85147,88698,86653.0,3.5936734132724357,4.170434660058486,0.03530607453314406,0.04085816660259894,0.6594202898550725,0.5628019323671498,0.6072922037005213,1.0607292203700522
9,散歩道,normal,100,100,46686,47310,48525,47838.5,2.4686201430835775,2.5681674064679694,0.024386420772914946,0.02535743941201717,0.49516908212560384,0.7367149758454106,0.5922610590129771,1.0592261059012977
10,Colorless_Planet,normal,100,100,102551,103357,107850,106106.0,3.4665678540433564,4.347068897123552,0.03407835863349574,0.042552357989902145,0.6352657004830918,0.5483091787439613,0.5885931184067831,1.0588593118406784
11,カイﾀﾞﾝﾀﾞﾝ,matataki,100,100,16553,18634,19756,19439.0,17.434906059324582,6.021251475796929,0.16071400310194728,0.0584693736501452,0.9444444444444444,0.4227053140096618,0.5840204161758933,1.0584020416175894
12,60mとんとん走,matataki,100,100,3190,3301,3469,3344.5,4.8432601880877835,5.089366858527722,0.047296288779572565,0.04964091511655672,0.7270531400966184,0.4758454106280193,0.5752187493937101,1.057521874939371
13,蜘蛛の巣,matataki,100,100,12005,12203,12504,12276.0,2.2573927530195714,2.466606572154384,0.02232290708427316,0.024366769969472974,0.4613526570048309,0.7463768115942029,0.570231884057971,1.057023188405797
14,Liar Truth,other,100,100,28400,28949,29800,29078.5,2.3890845070422495,2.939652492314071,0.023609924324578,0.02897273240328907,0.4806763285024155,0.6884057971014492,0.5660857587735059,1.0566085758773507
15,ヒューストン,matataki,100,100,12675,12949,13398,12978.0,2.3905325443786873,3.467449223878294,0.023624066721729748,0.03408687699937282,0.4855072463768116,0.6594202898550725,0.5592551825353147,1.0559255182535314
16,Elementary_course,normal,100,100,93849,94856,97265,95903.5,2.1891549190721227,2.539639031795571,0.021655369899044423,0.02507926009401101,0.4468599033816425,0.7415458937198067,0.5576666273909116,1.0557666627390911
17,Electronic Escape,normal,100,100,98251,99750,105094,102226.0,4.045760348495175,5.357393483709272,0.03966061973110799,0.05218813199616779,0.6932367149758454,0.466183574879227,0.5574778582930757,1.0557477858293076
18,八の字,matataki,100,100,19250,19899,21000,20125.5,4.5480519480519455,5.532941353836884,0.04447660698270575,0.05385295851189445,0.7125603864734299,0.45169082125603865,0.5528995529897569,1.0552899552989756
19,Happy Flavor!,normal,100,100,95850,97152,99654,97855.0,2.091810119979143,2.5753458498023685,0.020702321665279043,0.0254274240118067,0.4420289855072464,0.7318840579710144,0.5511719448917517,1.055117194489175
20,Title,normal,100,100,37549,38814,41003,39350.0,4.796399371487925,5.639717627660112,0.0468492281663395,0.05486422846926423,0.7222222222222222,0.44202898550724634,0.5484094052558783,1.0548409405255879
21,はしご邪魔やねん,matataki,100,100,22150,22203,23104,22719.5,2.571106094808129,4.058010178804672,0.02538609007739395,0.03977834782697675,0.5096618357487923,0.5869565217391304,0.545585136946945,1.0545585136946944
22,daydream planet,normal,100,100,66498,67598,69402,67878.5,2.0760022857830407,2.668718009408555,0.02054747028061246,0.026337288728885945,0.43719806763285024,0.7222222222222222,0.544675925925926,1.0544675925925926
23,GABA3,normal,100,100,112090,113660,119253,115590.5,3.1229369256847272,4.920816470174194,0.030751652897521825,0.0480357508157416,0.606280193236715,0.4903381642512077,0.5421800847006746,1.0542180084700674
24,自然の中を駆け抜ける,normal,100,100,69800,71557,74959,71875.0,2.9727793696274984,4.754251855164404,0.029294489349187637,0.046446962493146386,0.5821256038647343,0.5048309178743962,0.5407300053676866,1.0540730005367687
25,Neotech Android,normal,100,100,109300,109954,115112,112429.0,2.862763037511429,4.691052622005576,0.028225516116423016,0.04584347094928297,0.5676328502415459,0.5144927536231885,0.5397580227743272,1.0539758022774328
26,BigBiome,normal,100,100,503594,511324,520639,513429.0,1.952962108365064,1.821741205184968,0.01934136513079928,0.018053463156861908,0.39855072463768115,0.8333333333333334,0.5392156862745098,1.053921568627451
27,パラレルバイオーム,normal,100,100,217552,219807,229800,223627.0,2.792435831433404,4.546261038092503,0.027541582919439044,0.0444594768184855,0.5579710144927537,0.5193236714975845,0.5379541171118477,1.0537954117111847
28,Country Messenger,normal,100,100,80948,82227,86650,83803.5,3.5275732569056695,5.37901176012745,0.03466779951622996,0.05239330087972162,0.644927536231884,0.46135265700483097,0.5379089931017025,1.0537908993101703
29,5thタワー,kuwaty,100,100,60995,62231,65323,62875.5,3.083039593409298,4.968584788931563,0.030364687073865443,0.048490926916064464,0.6014492753623188,0.48550724637681164,0.5372946859903382,1.053729468599034
