overall_rank,tier,player_uuid,player_name,published_rating,raw_performance_index,eligible_course_count,best_course_score,thirtieth_course_score
1,EX,463ac650-c7f4-4839-8719-ebbf4a51731d,yukked0n,1305.9843475414402,104.7276718952698,201,106.01683842473318,103.29103427220133
2,S+,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1279.773101870556,104.29367972991957,134,106.4265132245958,102.05585342982857
3,S,f98a08ef-70d1-4082-b1b9-b4b7fbbaf04e,cresc28,1249.621769836989,103.80140694318777,162,106.30691898285039,102.0177955751385
4,S,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1239.4461110592918,103.63693636519278,158,107.43874379057081,101.60386613118257
5,S,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1214.6923637073978,103.24031439440031,141,104.46089092444286,102.08946556815731
6,S,a61f7017-f780-4a6c-8b0c-461bd12602fc,Sasterisk24,1206.350430451976,103.10775742692087,175,105.50475388627636,101.38914629885171
7,A+,2b29e3f5-5656-4e90-996b-f69ac8a05fff,Xx_Omochi_xX,1192.200145166521,102.88416685681217,135,105.96665967708114,101.27971960673855
8,A+,6e045cde-e21b-4cad-8308-b1bd53b38379,lolonya8,1189.2478389398007,102.83771682976585,141,105.63095573157493,101.03695055381947
9,A+,38418f95-eef8-466a-863c-4729571f8b39,Hopping_OreYANEN,1179.5104813944272,102.68500141868539,129,106.89670605084139,100.67796175632347
10,A+,109801dd-a044-425d-9de7-10236de5445f,grechan0126,1175.8651001098422,102.62802109435687,65,105.23870084132263,100.75585903760926
11,A+,c4cdc4a1-6026-4691-9a8e-cf227f10eded,sasas_,1169.864424729289,102.53445258573505,115,105.52391343516648,100.66706573017252
12,A+,6916473f-9f5c-44f7-adbd-999795c02fd2,hobby9930,1158.7527013146318,102.36193110000359,37,105.39304269256833,100.51184210526316
13,A+,f86558b2-0776-45f9-a158-a519bcbca651,_Ekidona,1155.8268800676249,102.31666472954457,191,105.80321285140562,100.681972312181
14,A,a8e47fdd-b23b-421f-ab12-2031c934a6a2,kqnqsimi,1126.2326998935382,101.86253312187488,130,104.7692222098587,100.17203533712387
15,A,b19024f4-2211-4d31-a068-a40e9a3cf617,tewitewi,1119.9507026526262,101.76700269411185,165,104.48234421215705,99.98223857665705
16,A,b3d6ca94-3f4c-4275-aadb-2011ee3fe724,sou53,1114.30540808749,101.68141263113779,114,104.61493555550467,99.75557993624193
17,A,43399ca2-bdbc-4c7a-b83e-da7efe957507,zekaYANENsaikyou,1113.8869585209695,101.67507809349526,157,105.56609653705841,99.61695853303874
18,A,2c3b56ae-d81c-4fa7-bfdb-2845aa766c57,yuio_123,1111.7167583743505,101.6422468190032,159,105.36630151934861,100.44777609142612
