overall_rank,tier,player_uuid,player_name,published_rating,raw_performance_index,eligible_course_count,best_course_score,thirtieth_course_score
1,EX,463ac650-c7f4-4839-8719-ebbf4a51731d,yukked0n,1304.513987648633,104.70317639202362,200,105.99610539654145,103.27399489447845
2,S+,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1280.931942333649,104.31274784369627,134,106.38691078658185,102.06427253302253
3,S+,f98a08ef-70d1-4082-b1b9-b4b7fbbaf04e,cresc28,1250.5734901818967,103.81683251960823,162,106.26957677738929,101.97727680774125
4,S,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1236.1549504888778,103.583919605719,158,107.42595845660749,101.55496938581211
5,S,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1211.3692242962206,103.18744186101449,141,104.46068548387098,102.00051781997978
6,S,a61f7017-f780-4a6c-8b0c-461bd12602fc,Sasterisk24,1202.496025919733,103.0466961656636,175,105.46352424749163,101.30420353448811
7,A+,6e045cde-e21b-4cad-8308-b1bd53b38379,lolonya8,1188.9638729203118,102.8332526853914,141,106.73290788393102,101.03671564826303
8,A+,2b29e3f5-5656-4e90-996b-f69ac8a05fff,Xx_Omochi_xX,1187.6657317756537,102.81285309960504,135,105.91879264888337,101.1867426446185
9,A+,38418f95-eef8-466a-863c-4729571f8b39,Hopping_OreYANEN,1173.4610040377243,102.59050015134021,128,106.88084496838776,100.49475815545567
10,A+,c4cdc4a1-6026-4691-9a8e-cf227f10eded,sasas_,1172.1415870907185,102.56992715026799,115,105.48474168839634,100.6305494692265
11,A+,109801dd-a044-425d-9de7-10236de5445f,grechan0126,1171.9533978246704,102.56699392173576,65,105.2068027945837,100.67186029161104
12,A+,6916473f-9f5c-44f7-adbd-999795c02fd2,hobby9930,1153.1900472299228,102.27592646011796,36,105.40274784482759,100.23778219677556
13,A+,f86558b2-0776-45f9-a158-a519bcbca651,_Ekidona,1151.328658996083,102.24720111525667,190,105.76483348968104,100.5826569309662
14,A,a8e47fdd-b23b-421f-ab12-2031c934a6a2,kqnqsimi,1122.3469902191985,101.80340735458924,130,104.77927300503237,100.14058783333897
