overall_rank,tier,published_rating,raw_performance_index,player_uuid,player_name,best30_position,weight,course_name,time_ms,course_record_time_ms,course_score,weighted_score
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,1,1.0,Annus novus,91306,91306,100.0,100.0
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,2,0.9963630607032357,Athletic Memory,177851,177851,100.0,99.63630607032357
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,3,0.9920678114569819,Canyon Path,306165,306165,100.0,99.20678114569819
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,4,0.9870080960663405,DIVE into SUMMER!!!!!,83548,83548,100.0,98.70080960663405
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,5,0.9810658431770052,Neophyte Biome,397451,397451,100.0,98.10658431770052
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,6,0.9741118391212371,Octologue templum,94803,94803,100.0,97.4111839121237
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,7,0.9660075366110973,Screw Biome,313302,313302,100.0,96.60075366110974
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,8,0.956608232494571,Tasty sweets 2,82451,82451,100.0,95.66082324945711
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,9,0.9457679553216021,Variety_Parkour,137843,137843,100.0,94.5767955321602
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,10,0.9333463551636094,Variety_Parkour_3,107187,107187,100.0,93.33463551636095
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,11,0.9192177547269431,Victors,96650,96650,100.0,91.9217754726943
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,12,0.9032822748516456,Viola,83647,83647,100.0,90.32822748516456
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,13,0.8854785752137614,Waza02,98433,98433,100.0,88.54785752137614
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,14,0.8657972692386122,Waza03,111449,111449,100.0,86.57972692386122
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,15,0.8442935459918379,Waza04,156567,156567,100.0,84.4293545991838
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,16,0.8210970839396359,Waza06,177549,177549,100.0,82.10970839396359
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,17,0.7964171404884258,Waza07,184434,184434,100.0,79.64171404884259
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,18,0.7705409177592077,Winter World,58454,58454,100.0,77.05409177592077
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,19,0.7438240393154395,Zenith,495911,495911,100.0,74.38240393154395
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,20,0.7166731775818047,challenge10,108214,108214,100.0,71.66731775818047
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,21,0.6895223158481698,dungeon of ruins,87047,87047,100.0,68.95223158481699
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,22,0.6628054374044016,ミニBOXバイオーム-EASY-,113453,113453,100.0,66.28054374044015
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,23,0.6369292146751835,ミニバイオームアスレチック,192845,192845,100.0,63.692921467518346
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,24,0.6122492712239734,古き砂上の楼閣,109648,109648,100.0,61.22492712239735
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,25,0.5890528091717714,四季バイオーム,195550,195550,100.0,58.90528091717714
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,26,0.5675490859249971,Imagination,86151,86147,99.99535698947197,56.75227345611859
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,27,0.5478677799498479,Tasty sweets,93749,93700,99.94773277581628,54.75814246690712
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,28,0.5300640803119637,晩夏光,75869,75750,99.84315069395933,52.92326784804236
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,29,0.5141286004366663,世界樹の麓,239456,238800,99.72604570359482,51.272012304672224
2,SS,1196.3534514645485,99.98219831004862,75ea9ff7-90c1-4cd0-9455-b04adf700a1a,kouki711,30,0.5,Caves.,72949,72702,99.66140728454126,49.83070364227063
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,1,1.0,BiomesIsland,761005,761005,100.0,100.0
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,2,0.9963630607032357,Circular world,171401,171401,100.0,99.63630607032357
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,3,0.9920678114569819,Dimension//Endroll,196603,196603,100.0,99.20678114569819
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,4,0.9870080960663405,Feel Nature,205396,205396,100.0,98.70080960663405
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,5,0.9810658431770052,Laberinto de Garrulus,75151,75151,100.0,98.10658431770052
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,6,0.9741118391212371,Mining Athletic,124297,124297,100.0,97.4111839121237
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,7,0.9660075366110973,SiLenT,63098,63098,100.0,96.60075366110974
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,8,0.956608232494571,Variety_Parkour_2,128198,128198,100.0,95.66082324945711
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,9,0.9457679553216021,Waza01,91200,91200,100.0,94.5767955321602
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,10,0.9333463551636094,White Flowers,66500,66500,100.0,93.33463551636095
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,11,0.9192177547269431,runner_clay,104938,104938,100.0,91.9217754726943
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,12,0.9032822748516456,マンションアスレチック,61903,61903,100.0,90.32822748516456
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,13,0.8854785752137614,ラージバイオーム,1499616,1499616,100.0,88.54785752137614
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,14,0.8657972692386122,四角世界のお菓子達,73802,73802,100.0,86.57972692386122
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,15,0.8442935459918379,紅ノ狂劇,98000,98000,100.0,84.4293545991838
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,16,0.8210970839396359,虚無,112018,112018,100.0,82.10970839396359
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,17,0.7964171404884258,Tasty sweets 2,82452,82451,99.99878717314316,79.64074813274534
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,18,0.7705409177592077,ぴょんぴょんアスレ EASY,9200,9199,99.98913043478261,77.04571633116252
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,19,0.7438240393154395,Tasty sweets,93799,93700,99.89445516476721,74.30389714587221
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,20,0.7166731775818047,カラフル迷路,338702,338306,99.8830830641685,71.58352652626499
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,21,0.6895223158481698,Waza02,98608,98433,99.82252961220185,68.82986179202793
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,22,0.6628054374044016,Zenith,496903,495911,99.80036345121684,66.14822355040202
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,23,0.6369292146751835,柵くぐり,45548,45450,99.78484236409942,63.55588128345282
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,24,0.6122492712239734,アストレイ,56751,56551,99.64758330249687,61.00916025618389
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,25,0.5890528091717714,Destinature,98046,97600,99.5451114782857,58.63732755560134
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,26,0.5675490859249971,Atlantis,75651,75299,99.53470542358991,56.490831080972306
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,27,0.5478677799498479,夢々幻,183247,181899,99.2643808629882,54.383755971501515
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,28,0.5300640803119637,夕景と終末のエピローグ,90449,89702,99.1741202224458,52.56863882645885
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,29,0.5141286004366663,DIVE into SUMMER!!!!!,84248,83548,99.16911974171494,50.985680739344076
3,SS,1176.6251327676619,99.87437789433245,bfb75c87-ae3e-434f-b8a2-9cf60882e866,Reimif,30,0.5,Octologue templum,95600,94803,99.1663179916318,49.5831589958159
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,1,1.0,Aequor,110310,110310,100.0,100.0
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,2,0.9963630607032357,Archaic arcade,284459,284459,100.0,99.63630607032357
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,3,0.9920678114569819,Cs cluster amaryllis,29151,29151,100.0,99.20678114569819
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,4,0.9870080960663405,End Maverick,77702,77702,100.0,98.70080960663405
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,5,0.9810658431770052,Mad Junkie :D,82644,82644,100.0,98.10658431770052
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,6,0.9741118391212371,Sanctuary,82345,82345,100.0,97.4111839121237
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,7,0.9660075366110973,Title,37549,37549,100.0,96.60075366110974
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,8,0.956608232494571,Zhanlue,67702,67702,100.0,95.66082324945711
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,9,0.9457679553216021,challenge9,184506,184506,100.0,94.5767955321602
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,10,0.9333463551636094,flashback,68999,68999,100.0,93.33463551636095
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,11,0.9192177547269431,ビル--水--,31104,31104,100.0,91.9217754726943
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,12,0.9032822748516456,ミスディレクション,24700,24700,100.0,90.32822748516456
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,13,0.8854785752137614,厳冬の煌めき,57450,57450,100.0,88.54785752137614
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,14,0.8657972692386122,図書館戦争,87498,87498,100.0,86.57972692386122
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,15,0.8442935459918379,夢々幻,181899,181899,100.0,84.4293545991838
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,16,0.8210970839396359,ｱｯﾂｲﾕｶ,13950,13950,100.0,82.10970839396359
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,17,0.7964171404884258,White Flowers,66502,66500,99.99699257165199,79.63931888135744
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,18,0.7705409177592077,dungeon of ruins,87254,87047,99.76276159259174,76.87128987574869
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,19,0.7438240393154395,Destinature,97899,97600,99.69458319288246,74.15522756839896
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,20,0.7166731775818047,Atlantis,75649,75299,99.53733691126122,71.33573953222424
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,21,0.6895223158481698,Whaels herd,58450,58148,99.48331907613344,68.59596855763795
4,SS,1161.2989881808476,99.77545714158666,5992da11-a4fe-4140-91ec-aa08ba24810b,Hopping_babaa,22,0.6628054374044016,ぴょんぴょんアスレ EASY,9255,9199,99.39492166396542,65.87949452926082
