difficulty_rank,course_name,category,ranking_row_count,unique_players,rank1_time_ms,rank2_time_ms,rank10_time_ms,rank2to5_median_time_ms,rank1_to_rank2to5_median_percent_gap,rank2_to_rank10_percent_spread,first_place_outlierness_raw,top_density_spread_raw,first_place_outlierness,top_density,first_place_difficulty,difficulty_multiplier
1,図書館戦争,normal,100,100,87498,90551,92499,90667.0,3.6217970696473145,2.1512738677651244,0.03557751813223461,0.02128460575838128,0.6609756097560976,0.7780487804878049,0.7147498966515089,1.071474989665151
2,Metalic Gear,normal,100,100,101750,104156,106254,104865.5,3.0619164619164696,2.014286262913312,0.030159752333079572,0.019942678889608347,0.5926829268292683,0.8073170731707318,0.6835472082943826,1.0683547208294382
3,手が疲れる奴,matataki,100,100,28849,29849,30752,29899.5,3.6413740510936154,3.0252269757780725,0.035766427540487526,0.02980369434795732,0.6707317073170732,0.6853658536585365,0.6779698192665381,1.0677969819266537
4,Athletic Memory,normal,100,100,177851,182851,188688,183450.0,3.1481408594834948,3.192216613526866,0.030996029706862483,0.031423243803547364,0.6073170731707317,0.6658536585365853,0.6352396972245584,1.0635239697224559
5,飛び水,matataki,100,100,22563,23023,23657,23231.0,2.960599211097814,2.753767971159271,0.029176197126451996,0.027165337968037048,0.5682926829268292,0.7097560975609756,0.6311953081362874,1.0631195308136288
6,Stare,normal,100,100,91649,92705,95276,94228.0,2.8139968793985837,2.7733131977778935,0.027751314178913182,0.027355534087851317,0.5585365853658537,0.7048780487804878,0.6232319427441378,1.0623231942744138
7,Escape from U.L.,normal,100,100,439868,442958,461008,455854.0,3.634272099811753,4.074878430912188,0.035697900905385674,0.03994043900110233,0.6658536585365854,0.5829268292682928,0.6216368140243903,1.062163681402439
8,Viola,normal,100,100,83647,85147,88698,86653.0,3.5936734132724357,4.170434660058486,0.03530607453314406,0.04085816660259894,0.6560975609756098,0.5634146341463415,0.6062341463414634,1.0606234146341464
9,Colorless_Planet,normal,100,100,102551,103357,107850,106106.0,3.4665678540433564,4.347068897123552,0.03407835863349574,0.042552357989902145,0.6317073170731707,0.5487804878048781,0.5873311832291876,1.0587331183229187
10,散歩道,normal,100,100,46686,47310,48525,47838.5,2.4686201430835775,2.5681674064679694,0.024386420772914946,0.02535743941201717,0.4853658536585366,0.7390243902439024,0.5859197356913808,1.058591973569138
